Ano,Bandeira,Valor de Venda
2020,RAIZEN,3.396737946338511
2020,RAIZEN MIME,3.389610859728507
2020,RIO BRANCO,3.59272268907563
2020,ROYAL FIC,3.6171818181818183
2020,SABBÁ,3.7015522609340255
2020,SIMARELLI,3.6550285714285713
2020,SP,3.613324
2020,TAURUS,3.433621118012422
2020,WALENDOWSKY,3.6445
2021,ALESAT,4.728078125
2021,ATEM' S,4.729024125452352
2021,BRANCA,4.619427857205508
2021,CHARRUA,4.7916917808219175
2021,CIAPETRO,4.646834782608695
2021,DIBRAPE,4.8322
2021,DISLUB,4.88058024691358
2021,EQUADOR,5.11597746967071
2021,IDAZA,4.932353571428571
2021,IPIRANGA,4.705517203594127
2021,LARCO,5.105178571428572
2021,PETROBAHIA,4.811979591836735
2021,POTENCIAL,4.719632352941177
2021,RAIZEN,4.656320935904276
2021,RAIZEN MIME,4.666653594771242
2021,RIO BRANCO,4.81464375
2021,ROYAL FIC,4.63795
2021,SABBÁ,4.96827033492823
2021,SIMARELLI,5.484067567567567
2021,SP,5.052974576271186
2021,TAURUS,4.7397089947089945
2021,WALENDOWSKY,4.756259259259259
2022,ALESAT,6.644896301667875
2022,ATEM' S,6.841901763224182
2022,BRANCA,6.572319774781598
2022,CHARRUA,6.489301470588235
2022,CIAPETRO,6.599076923076923
2022,DIBRAPE,6.542048192771085
2022,DISLUB,6.62027397260274
2022,EQUADOR,7.203932896890344
2022,IDAZA,6.841954022988506
2022,IPIRANGA,6.6369725490196085
2022,LARCO,6.8935
2022,PETROBAHIA,7.087796610169492
2022,POTENCIAL,6.522978723404256
2022,RAIZEN,6.600752037333705
2022,RAIZEN MIME,6.744491103202847
2022,RIO BRANCO,6.676352941176471
2022,ROYAL FIC,6.632307692307692
2022,SABBÁ,6.9875864089045105
2022,SIMARELLI,7.127263636363637
2022,SP,7.138514851485149
2022,TAURUS,6.566585365853658
2022,WALENDOWSKY,6.553658536585366
2023,ALESAT,5.751856375183195
2023,ATEM' S,6.04301282051282
2023,BRANCA,5.6153457701628815
2023,CHARRUA,5.560206896551724
2023,CIAPETRO,5.60019801980198
2023,DIBRAPE,5.55
2023,DISLUB,6.0
2023,EQUADOR,6.393518518518518
2023,IDAZA,5.819310344827586
2023,IPIRANGA,5.800644126571304
2023,LARCO,5.316
2023,PETROBAHIA,5.248688524590164
2023,POTENCIAL,5.719831932773109
2023,RAIZEN,5.663545424181696
2023,RAIZEN MIME,5.881205673758865
2023,RIO BRANCO,5.747142857142857
2023,ROYAL FIC,5.8876923076923084
2023,SABBÁ,6.066088280060883
2023,SIMARELLI,6.328260869565218
2023,SP,5.699473684210527
2023,TAURUS,5.72646511627907
2023,WALENDOWSKY,5.818181818181818
